Index,Title,Release Year,Director,Description,Rating
0,La La Land,2016,Damien Chazelle,"Mia, an aspiring actress, serves lattes to movie stars in between auditions and Sebastian, a jazz musician, scrapes by playing cocktail party gigs in dingy bars, but as success mounts they are faced…",4.09
1,Interstellar,2014,Christopher Nolan,The adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,4.35
2,Everything Everywhere All At Once,2022,"Daniel Scheinert, Daniel Kwan","An aging Chinese immigrant is swept up in an insane adventure, where she alone can save what's important to her by connecting with the lives she could have led in other universes.",4.3
3,Fight Club,1999,David Fincher,"A ticking-time-bomb insomniac and a slippery soap salesman channel primal male aggression into a shocking new form of therapy. Their concept catches on, with underground fight clubs forming in…",4.27
4,Whiplash 2014,2014,Damien Chazelle,"Under the direction of a ruthless instructor, a talented young drummer begins to pursue perfection at any cost, even his humanity.",4.43
5,Eternal Sunshine Of The Spotless Mind,2004,Michel Gondry,"Joel Barish, heartbroken that his girlfriend underwent a procedure to erase him from her memory, decides to do the same. However, as he watches his memories of her fade away, he realises that he…",4.25
6,Little Women 2019,2019,Greta Gerwig,Four sisters come of age in America in the aftermath of the Civil War.,4.15
7,Dead Poets Society,1989,Peter Weir,"At an elite, old-fashioned boarding school in New England, a passionate English teacher inspires his students to rebel against convention and seize the potential of every day, courting the disdain of…",4.26
8,Parasite 2019,2019,Bong Joon-ho,"All unemployed, Ki-taek's family takes peculiar interest in the wealthy and glamorous Parks for their livelihood until they get entangled in an unexpected incident.",4.56
9,The Dark Knight,2008,Christopher Nolan,"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the…",4.47
10,10 Things I Hate About You,1999,Gil Junger,"On the first day at his new school, Cameron instantly falls for Bianca, the gorgeous girl of his dreams. The only problem is that Bianca is forbidden to date until her ill-tempered, completely…",4.0
11,Spirited Away,2001,Hayao Miyazaki,"A young girl, Chihiro, becomes trapped in a strange new world of spirits. When her parents undergo a mysterious transformation, she must call upon the courage she never knew she had to free her family.",4.45
12,The Perks Of Being A Wallflower,2012,Stephen Chbosky,"Pittsburgh, Pennsylvania, 1991. High school freshman Charlie is a wallflower, always watching life from the sidelines, until two senior students, Sam and her stepbrother Patrick, become his mentors,…",3.92
13,Spider Man Into The Spider Verse,2018,"Rodney Rothman, Peter Ramsey et al","Struggling to find his place in the world while juggling school and family, Brooklyn teenager Miles Morales is unexpectedly bitten by a radioactive spider and develops unfathomable powers just like…",4.42
14,Pride Prejudice,2005,Joe Wright,"A story of love and life among the landed English gentry during the Georgian era. Mr. Bennet is a gentleman living in Hertfordshire with his overbearing wife and five daughters, but if he dies their…",4.1
15,Howls Moving Castle,2004,Hayao Miyazaki,"When Sophie, a shy young woman, is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his…",4.33
16,Pulp Fiction,1994,Quentin Tarantino,"A burger-loving hit man, his philosophical partner, a drug-addled gangster's moll and a washed-up boxer converge in this sprawling, comedic crime caper. Their adventures unfurl in three stories that…",4.26
17,Fantastic Mr Fox,2009,Wes Anderson,"The Fantastic Mr. Fox, bored with his current life, plans a heist against the three local farmers. The farmers, tired of sharing their chickens with the sly fox, seek revenge against him and his family.",4.27
18,Call Me By Your Name,2017,Your Name (2017) directed,"In 1980s Italy, a relationship begins between seventeen-year-old teenage Elio and the older adult man hired as his father's research assistant.",3.86
19,Coraline,2009,Henry Selick,"When Coraline moves to an old house, she feels bored and neglected by her parents. She finds a hidden door with a bricked up passage. During the night, she crosses the passage and finds a parallel…",4.14
20,The Shawshank Redemption,1994,Frank Darabont,"Imprisoned in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an…",4.55
21,The Godfather,1972,Francis Ford Coppola,"Spanning the years 1945 to 1955, a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch, Vito Corleone barely survives an attempt on his life, his…",4.55
22,Scream,1996,Wes Craven,"A killer known as Ghostface begins killing off teenagers, and as the body count begins rising, one girl and her friends find themselves contemplating the 'rules' of horror films as they find…",4.02
23,Black Swan,2010,Darren Aronofsky,A journey through the psyche of a young ballerina whose starring role as the duplicitous swan queen turns out to be a part for which she becomes frighteningly perfect.,4.15
24,Good Will Hunting,1997,Gus Van Sant,"Will Hunting has a genius-level IQ but chooses to work as a janitor at MIT. When he solves a difficult graduate-level math problem, his talents are discovered by Professor Gerald Lambeau, who decides…",4.31
25,Inception,2010,Christopher Nolan,"Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible:…",4.2
26,Lady Bird,2017,Greta Gerwig,"A California high school student plans to escape from her family and small town by going to college in New York, much to the disapproval of wildly loving, deeply opinionated and strong-willed mother.",3.85
27,The Grand Budapest Hotel,2014,Wes Anderson,The Grand Budapest Hotel tells of a legendary concierge at a famous European hotel between the wars and his friendship with a young employee who becomes his trusted protégé. The story involves the…,4.24
28,Scott Pilgrim Vs The World,2010,Edgar Wright,"Scott Pilgrim is a 22 year old radical Canadian wannabe rockstar who falls in love with an American delivery girl, Ramona Flowers, and must defeat her seven evil exes to be able to date her.",3.87
29,Goodfellas,1990,Martin Scorsese,"The true story of Henry Hill, a half-Irish, half-Sicilian Brooklyn kid who is adopted by neighbourhood gangsters at an early age and climbs the ranks of a Mafia family under the guidance of Jimmy Conway.",4.48
30,Aftersun,2022,Charlotte Wells,Sophie reflects on the shared joy and private melancholy of a holiday she took with her father twenty years earlier. Memories real and imagined fill the gaps between miniDV footage as she tries to…,4.24
31,Before Sunrise,1995,Richard Linklater,"A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together.",4.33
32,Back To The Future,1985,Robert Zemeckis,"Eighties teenager Marty McFly is accidentally sent back in time to 1955, inadvertently disrupting his parents' first meeting and attracting his mother's romantic interest. Marty must repair the…",4.2
33,The Lord Of The Rings The Return Of The King,2003,Peter Jackson,"Aragorn is revealed as the heir to the ancient kings as he, Gandalf and the other members of the broken fellowship struggle to save Gondor from Sauron's forces. Meanwhile, Frodo and Sam take the ring…",4.5
34,Inglourious Basterds,2009,Quentin Tarantino,"In Nazi-occupied France during World War II, a group of Jewish-American soldiers known as The Basterds are chosen specifically to spread fear throughout the Third Reich by scalping and brutally…",4.34
35,Donnie Darko,2001,Richard Kelly,"After narrowly escaping a bizarre accident, a troubled teenager is plagued by visions of a large bunny rabbit that manipulates him to commit a series of crimes.",3.97
